Jun 20 22:02:39 2015,38bc-1a18-6d29,c4ca-d997-2a70,c4ca-d997-2750
Jun 20 22:02:43 2015,f48e-920c-c655,7425-8a90-5e60,7425-8a90-61c0
Jun 20 22:02:44 2015,38bc-1a18-fb04,c4ca-d997-5090,c4ca-d997-3530
Jun 20 22:02:49 2015,68d9-3cc5-b6d7,c4ca-d997-3150,c4ca-d996-fc30
Jun 20 22:03:01 2015,68d9-3cc5-b6d7,c4ca-d996-fc30,c4ca-d997-2510
Jun 20 22:03:08 2015,649a-bebb-cc6a,c4ca-d997-17b0,c4ca-d997-5570
Jun 20 22:03:09 2015,2c28-2dfd-7394,7425-8a93-6cd0,7425-8a93-83d0
Jun 20 22:03:27 2015,fcf8-ae7e-3470,c4ca-d997-04f0,c4ca-d998-56b0
Jun 20 22:03:28 2015,38bc-1aa6-13f2,c4ca-d998-2f90,c4ca-d997-5930
Jun 20 22:03:31 2015,3010-e46b-2e76,c4ca-d998-5190,c4ca-d998-48f0
Jun 20 22:03:31 2015,80be-054b-bcff,7425-8a93-83d0,c4ca-d998-2f30
Jun 20 22:03:33 2015,68d9-3cc5-b6d7,c4ca-d997-2510,c4ca-d996-f5b0
Jun 20 22:03:40 2015,18f6-4315-aea7,7425-8a92-4130,7425-8a92-42c0
Jun 20 22:03:42 2015,649a-bebb-cc6a,c4ca-d997-5570,c4ca-d997-5790
Jun 20 22:03:45 2015,2c28-2dfd-7394,7425-8a93-83d0,c4ca-d998-34f0
Jun 20 22:03:50 2015,649a-bebb-cc6a,c4ca-d997-5790,7425-8a92-a6e0
Jun 20 22:03:51 2015,f48e-920c-c655,7425-8a90-61c0,7425-8a90-5e60
Jun 20 22:03:53 2015,38bc-1a18-6d29,c4ca-d997-2750,c4ca-d997-5010
Jun 20 22:03:57 2015,c8dd-c909-49a3,c4ca-d997-2930,c4ca-d997-52d0
Jun 20 22:04:01 2015,18f6-4315-aea7,7425-8a92-42c0,7425-8a92-4130
Jun 20 22:04:05 2015,c01a-da34-b494,c4ca-d998-2710,c4ca-d997-0470
Jun 20 22:04:12 2015,c01a-da34-b494,c4ca-d997-0470,c4ca-d998-2710
